PartNumber,lengthY,widthX,height,padX,padY,padSpacing,landingX,landingY,landingSpacing,datasheetUrl
XAL8080-XXX,8.8,8.3,8,1.6,6.5,3.56,1.78,7,5.16,"https://www.coilcraft.com/getmedia/345e50d6-a804-4ecb-9a92-5185221faf3e/xal8080.pdf"
XAL1030-XXX,11.8,10.5,3.1,2.2,8,4.45,2.38,9,6.65,"https://www.coilcraft.com/getmedia/7b108457-7731-456d-9256-ca72f2e1a551/xal1030.pdf"
XAL1060-XXX,11.8,10.5,6,2.2,8,4.45,2.38,9,6.65,"https://www.coilcraft.com/getmedia/8909f858-b441-4d60-acff-8b8ca36f9ede/xal1060.pdf"
XAL1010-XXX,11.8,10.5,10,2.2,8,4.45,2.38,9,6.65,"https://www.coilcraft.com/getmedia/dd74e670-e705-456a-9a69-585fe02eaf3c/xal1010.pdf"
XAL1350-XXX,14.2,13.2,5,2.8,11.2,5.8,2.98,12,8.6,"https://www.coilcraft.com/getmedia/dc536f86-3a3b-454f-950e-8e153260e61c/xal1350.pdf"
XAL1580-132,16.4,15.4,8,3,12.5,7.6,3.18,13.2,10.6,"https://www.coilcraft.com/getmedia/7fdfd306-5217-4ddc-b6b7-a2659ceeb6e3/xal1580.pdf"
XAL1580-452,16.4,15.4,8,3,12.5,7.6,3.18,13.2,10.6,"https://www.coilcraft.com/getmedia/7fdfd306-5217-4ddc-b6b7-a2659ceeb6e3/xal1580.pdf"
XAL1580-532,16.4,15.4,8,3,12.5,7.6,3.18,13.2,10.6,"https://www.coilcraft.com/getmedia/7fdfd306-5217-4ddc-b6b7-a2659ceeb6e3/xal1580.pdf"
XAL1580-612,16.4,15.4,8,3,12.5,7.6,3.18,13.2,10.6,"https://www.coilcraft.com/getmedia/7fdfd306-5217-4ddc-b6b7-a2659ceeb6e3/xal1580.pdf"
XAL1580-202,16.4,15.4,8,3,12.5,7.6,3.18,13.2,10.6,"https://www.coilcraft.com/getmedia/7fdfd306-5217-4ddc-b6b7-a2659ceeb6e3/xal1580.pdf"
XAL1580-302,16.4,15.4,8,3,12.5,7.6,3.18,13.2,10.6,"https://www.coilcraft.com/getmedia/7fdfd306-5217-4ddc-b6b7-a2659ceeb6e3/xal1580.pdf"
XAL1580-182,16.4,15.4,8,3,12.5,7.6,3.18,13.2,10.6,"https://www.coilcraft.com/getmedia/7fdfd306-5217-4ddc-b6b7-a2659ceeb6e3/xal1580.pdf"
XAL1580-401,16.4,15.4,8.2,3,12.5,7.6,3.18,13.2,10.6,"https://www.coilcraft.com/getmedia/7fdfd306-5217-4ddc-b6b7-a2659ceeb6e3/xal1580.pdf"
XAL1580-102,16.4,15.4,8.2,3,12.5,7.6,3.18,13.2,10.6,"https://www.coilcraft.com/getmedia/7fdfd306-5217-4ddc-b6b7-a2659ceeb6e3/xal1580.pdf"
XAL1580-741,16.4,15.4,8.2,3,12.5,7.6,3.18,13.2,10.6,"https://www.coilcraft.com/getmedia/7fdfd306-5217-4ddc-b6b7-a2659ceeb6e3/xal1580.pdf"
XAL1510-472,16.4,15.4,10,3,12.5,7.6,3.18,13.2,10.6,"https://www.coilcraft.com/getmedia/cd1cef27-13f0-4568-8894-f7311475209b/xal1510.pdf"
XAL1510-153,16.4,15.4,10,3,12.5,7.6,3.18,13.2,10.6,"https://www.coilcraft.com/getmedia/cd1cef27-13f0-4568-8894-f7311475209b/xal1510.pdf"
XAL1510-223,16.4,15.4,10,3,12.5,7.6,3.18,13.2,10.6,"https://www.coilcraft.com/getmedia/cd1cef27-13f0-4568-8894-f7311475209b/xal1510.pdf"
XAL1510-822,16.4,15.4,10,3,12.5,7.6,3.18,13.2,10.6,"https://www.coilcraft.com/getmedia/cd1cef27-13f0-4568-8894-f7311475209b/xal1510.pdf"
XAL1510-103,16.4,15.4,10,3,12.5,7.6,3.18,13.2,10.6,"https://www.coilcraft.com/getmedia/cd1cef27-13f0-4568-8894-f7311475209b/xal1510.pdf"
XAL1510-682,16.4,15.4,10,3,12.5,7.6,3.18,13.2,10.6,"https://www.coilcraft.com/getmedia/cd1cef27-13f0-4568-8894-f7311475209b/xal1510.pdf"
XAL1510-333,16.4,15.4,11,3,12.5,7.6,3.18,13.2,10.6,"https://www.coilcraft.com/getmedia/cd1cef27-13f0-4568-8894-f7311475209b/xal1510.pdf"
XAL1513-153,16.4,15.4,13,3,12.5,7.6,3.18,13.2,10.6,"https://www.coilcraft.com/getmedia/129ad6f3-0445-47fd-a0b3-edeb49177c17/xal1513.pdf"
